Título,Autor,Año,Grado
Deshidratación de crudo maya utilizando ultrasonido,"Abad Cepeda, José Antonio",2020,Licenciatura en Ingeniería Química
Obtención y caracterización de andamios tubulares por metodología de descelularización,"Abad Contreras, David Eduardo",2020,Maestría en Ciencia e Ingeniería de Materiales
Propuesta de políticas de desarrollo de colecciones para el sistema bibliotecario del Colegio de Bachilleres,"Abad Díaz, Olga Patricia",2020,Maestría en Bibliotecología y Estudios de la Información
"Tumores de células esteroideas de tipo nos del ovario, descripción epidemiológica, clínica e histopatológica","Abad Olmedo, Andrea Cristina",2020,Especialidad en Medicina (Anatomía Patológica)
"Manifestaciones oftamológicas en población pediátrica con hipertiroidismo en el Hospital de Pediatría, Centro Médico Nacional Siglo XXI, IMSS","Abarca Bahena, Mario Alberto",2020,Especialidad en Medicina (Endocrinología Pediátrica)
"Diversidad de Ephemeroptera y Odonata de tres localidades del estado de Tlaxcala, México","Abarca Juárez, Paulina",2020,Licenciatura en Biología
Complicaciones en la colocación de angio-accesos guiados por ultrasonido y sus factores de riesgo asociados,"Abarca Victoria, Leonides Ricardo",2020,Especialidad en Medicina (Imagenología Diagnóstica y Terapéutica)
Propuesta de una intervención multicomponente de tipo cognitivo-conductual para pacientes con ansiedad prequirúrgica,"Abaroa Ramírez, María Fernanda",2020,Maestría en Psicología
Parametrización B-spline cuadrática de regiones planas con frontera irregular,"Abelló Ugalde, Isidro Alfredo Bernabé",2020,Doctorado en Ciencias Matemáticas
Cuenta cuentos como recurso didáctico en apoyo al fomento a la lectura en la educación preescolar,"Abraján Albiter, Dulce Yesenia",2020,Licenciatura en Pedagogía
"Aseguramiento de flujo en crudos pesados y extrapesados, estado del arte de un campo en la cuenca Tampico-Misantla","Abrego de la Cruz, Alfredo Leonardo",2020,Licenciatura en Ingeniería Petrolera
Espacios extremadamente disconexos,"Abreu Olvera, Gabriela",2020,Licenciatura en Matemáticas
